,names,pvals,logfoldchanges,condition,cellline
2043672,TNFSF12,3.1109881724647176e-19,-0.351940244436264,PJ-34,MCF7
2043673,BAG5,3.8214859411430586e-19,0.1718538999557495,PJ-34,MCF7
2043674,PPP1R2,4.0533049279884433e-19,0.2488150298595428,PJ-34,MCF7
2043675,KTN1,4.8499755958316885e-19,0.2205487042665481,PJ-34,MCF7
2043676,SGK1,4.871940708308344e-19,0.1744063198566436,PJ-34,MCF7
2043677,PSMD6,5.620698715812992e-19,0.1219925731420517,PJ-34,MCF7
2043678,CUL1,1.2989492687137005e-18,0.2291152775287628,PJ-34,MCF7
2043679,APP,1.3744942806699226e-18,0.1311941891908645,PJ-34,MCF7
2043680,MITF,1.4695821573295985e-18,0.2534863948822021,PJ-34,MCF7
2043681,HSPA1A,2.02742214991291e-18,0.2577887773513794,PJ-34,MCF7
2045662,NARS2,7.20777954674782e-22,0.1892780065536499,olaparib,MCF7
2045663,KLHL29,5.921771175529857e-21,-0.3412089049816131,olaparib,MCF7
2045664,CALCOCO2,8.20286831811346e-21,0.201612502336502,olaparib,MCF7
2045665,SESN1,9.33108385779154e-21,0.2033829540014267,olaparib,MCF7
2045666,RASIP1,3.0489065580296714e-20,-0.2490342706441879,olaparib,MCF7
2045667,ALDOA,4.941873563852265e-20,-0.1818852722644806,olaparib,MCF7
2045668,GRK6,5.513502687321887e-20,-0.2447783946990966,olaparib,MCF7
2045669,CRYZ,1.0810511692887212e-19,0.2161932736635208,olaparib,MCF7
2045670,STC2,1.4755820533333036e-19,-0.116130955517292,olaparib,MCF7
2045671,ADRA2C,1.8086955058425941e-19,-0.3315148651599884,olaparib,MCF7
2045672,SH2D2A,2.0062571518205185e-19,-0.3722158074378967,olaparib,MCF7
2045673,LAMC3,3.804359456763273e-19,-0.3942930996417999,olaparib,MCF7
2045674,MGAT1,8.837279169181466e-19,-0.2956510782241821,olaparib,MCF7
2045675,NOC4L,8.970150828850172e-19,-0.3491895198822021,olaparib,MCF7
2045676,NNMT,1.117150811275146e-18,-0.1647496819496154,olaparib,MCF7
2045677,CD320,1.5178604652275038e-18,-0.2053514569997787,olaparib,MCF7
2045678,LDLR,1.6434190081192561e-18,0.1618385165929794,olaparib,MCF7
2045679,PSMB10,1.743681235073887e-18,-0.3202461004257202,olaparib,MCF7
2045680,MMP19,1.864961475646098e-18,-0.3182251751422882,olaparib,MCF7
2045681,CTSW,2.090538257797935e-18,-0.1833391189575195,olaparib,MCF7
2047662,TFAP2A,9.307958325783516e-12,-0.7027068138122559,lonidamine,MCF7
2047663,NUP88,9.953244462897971e-12,-0.1159174963831901,lonidamine,MCF7
2047664,PGRMC2,2.1465367923945588e-10,-0.4973477721214294,lonidamine,MCF7
2047665,NOP14,6.8150992593104e-10,-0.3897696435451507,lonidamine,MCF7
2047666,POLM,1.827243145111961e-09,-0.3571572601795196,lonidamine,MCF7
2047667,GAR1,1.861520006843217e-09,-0.2133108228445053,lonidamine,MCF7
2047668,PAF1,2.86839914236634e-09,-0.5540159344673157,lonidamine,MCF7
2047669,ROR1,4.165050041680025e-09,0.2116676717996597,lonidamine,MCF7
2047670,MBD2,4.877683721783498e-09,-0.2543598115444183,lonidamine,MCF7
2047671,FOSL1,6.2916509720885395e-09,0.448484867811203,lonidamine,MCF7
2047672,SIPA1L3,6.688180948716105e-09,-0.3369751274585724,lonidamine,MCF7
2047673,INPP5D,7.637046586671855e-09,-0.301769495010376,lonidamine,MCF7
